compliance_id,client_id,compliance_type,due_date,completion_date,status,risk_score,regulatory_body,penalty_amount,remediation_required
COMP200000,CL111529,KYC,30/12/2023,03/01/2024,Compliant,1.34,Income_Tax,0.0,No
COMP200001,CL111254,tax_reporting,14/07/2021,09/07/2021,Compliant,3.92,Income_Tax,0.0,No
COMP200002,CL113714,KYC,29/08/2024,31/08/2024,Compliant,3.19,SEBI,0.0,No
COMP200003,CL117913,KYC,10/11/2024,08/11/2024,Compliant,2.05,FIU,0.0,No
COMP200004,CL107790,tax_reporting,04/12/2023,,Pending,6.12,Income_Tax,0.0,Yes
COMP200005,CL101089,tax_reporting,11/03/2023,14/03/2023,Compliant,3.4,FIU,0.0,No
COMP200006,CL118844,AML,12/05/2025,07/05/2025,Compliant,2.94,RBI,0.0,No
COMP200007,CL104112,tax_reporting,15/04/2024,16/04/2024,Compliant,2.24,SEBI,0.0,No
COMP200008,CL116656,tax_reporting,04/05/2024,02/05/2024,Compliant,3.12,SEBI,0.0,No
COMP200009,CL110972,AML,08/05/2021,09/05/2021,Compliant,1.74,Income_Tax,0.0,No
COMP200010,CL119813,tax_reporting,24/07/2024,18/08/2024,Non_compliant,7.02,FIU,1688.56,Yes
COMP200011,CL118194,tax_reporting,15/03/2021,10/03/2021,Compliant,1.3,FIU,0.0,No
COMP200012,CL115857,tax_reporting,15/11/2021,18/11/2021,Compliant,1.9,Income_Tax,0.0,No
COMP200013,CL107239,KYC,02/01/2021,01/01/2021,Compliant,2.92,RBI,0.0,No
COMP200014,CL119776,AML,31/03/2023,28/03/2023,Compliant,1.97,Income_Tax,0.0,No
COMP200015,CL117923,KYC,05/02/2025,09/02/2025,Compliant,1.56,SEBI,0.0,No
COMP200016,CL117919,disclosure,29/01/2021,24/01/2021,Compliant,3.75,Income_Tax,0.0,No
COMP200017,CL119916,tax_reporting,08/09/2023,,Pending,4.81,Income_Tax,0.0,Yes
COMP200018,CL110321,KYC,21/08/2024,22/08/2024,Compliant,1.82,RBI,0.0,No
COMP200019,CL106029,AML,16/12/2022,,Pending,6.86,Income_Tax,0.0,Yes
COMP200020,CL104190,KYC,09/01/2023,13/01/2023,Compliant,1.38,RBI,0.0,No
COMP200021,CL111273,disclosure,14/06/2025,09/06/2025,Compliant,3.24,SEBI,0.0,No
COMP200022,CL104010,disclosure,16/05/2025,15/05/2025,Compliant,1.02,SEBI,0.0,No
COMP200023,CL101366,AML,21/01/2024,23/01/2024,Compliant,3.57,RBI,0.0,No
COMP200024,CL106591,disclosure,05/10/2024,30/09/2024,Compliant,3.09,Income_Tax,0.0,No
COMP200025,CL102419,AML,23/01/2023,,Pending,5.66,RBI,0.0,Yes
COMP200026,CL111086,KYC,14/04/2021,15/04/2021,Compliant,3.81,RBI,0.0,No
COMP200027,CL104035,KYC,08/03/2024,11/03/2024,Compliant,2.54,SEBI,0.0,No
COMP200028,CL110081,AML,04/01/2024,03/01/2024,Compliant,1.53,RBI,0.0,No
COMP200029,CL118705,KYC,29/11/2023,24/11/2023,Compliant,2.61,Income_Tax,0.0,No
COMP200030,CL103755,disclosure,01/09/2022,31/08/2022,Compliant,1.88,Income_Tax,0.0,No
COMP200031,CL118491,disclosure,12/01/2023,15/01/2023,Compliant,1.03,RBI,0.0,No
